Year,Age,Gender,Population,Deaths
1933,0,Female,952985,52556.0
1933,0,Male,984905,68331.0
1933,1,Female,994297,8907.0
1933,1,Male,1016844,10313.0
1933,2,Female,1079934,4332.0
1933,2,Male,1103441,5132.0
1933,3,Female,1102272,3158.0
1933,3,Male,1126997,3754.0
1933,4,Female,1110817,2491.0
1933,4,Male,1139660,2928.0
1934,0,Female,921473,56235.0
1934,0,Male,953093,73950.0
1934,1,Female,947225,9469.0
1934,1,Male,969990,10978.0
1934,2,Female,1044169,4730.0
1934,2,Male,1063573,5478.0
1934,3,Female,1088875,3223.0
1934,3,Male,1115475,3846.0
1934,4,Female,1101208,2457.0
1934,4,Male,1125710,2994.0
1935,0,Female,958672,51333.0
1935,0,Male,992772,68805.0
1935,1,Female,920107,7730.0
1935,1,Male,942268,9001.0
1935,2,Female,1003739,3819.0
1935,2,Male,1023957,4672.0
1935,3,Female,1052740,2896.0
1935,3,Male,1075048,3435.0
1935,4,Female,1087538,2514.0
1935,4,Male,1113536,2740.0
1936,0,Female,952134,52786.0
1936,0,Male,992701,69749.0
1936,1,Female,958969,7723.0
1936,1,Male,983259,9378.0
1936,2,Female,983301,3882.0
1936,2,Male,1004007,4594.0
1936,3,Female,1012067,2736.0
1936,3,Male,1034438,3162.0
1936,4,Female,1050578,2259.0
1936,4,Male,1072338,2558.0
1937,0,Female,949319,51758.0
1937,0,Male,982918,68173.0
1937,1,Female,958795,7532.0
1937,1,Male,989772,8735.0
1937,2,Female,1027350,3785.0
1937,2,Male,1051681,4463.0
1937,3,Female,992318,2509.0
1937,3,Male,1014946,2956.0
1937,4,Female,1010115,1993.0
1937,4,Male,1031459,2419.0
1938,0,Female,991049,50240.0
1938,0,Male,1027603,66462.0
1938,1,Female,960329,7137.0
1938,1,Male,982308,8166.0
1938,2,Female,1037701,3444.0
1938,2,Male,1070684,4043.0
1938,3,Female,1036721,2314.0
1938,3,Male,1063188,2820.0
1938,4,Female,992744,1782.0
1938,4,Male,1014102,2114.0
1939,0,Female,1000990,46861.0
1939,0,Male,1040024,61985.0
1939,1,Female,996104,5864.0
1939,1,Male,1029246,6849.0
1939,2,Female,1045958,2777.0
1939,2,Male,1069772,3416.0
