Year,Age,mx_male,mx_female,mx_diff
1933,0,0.06937826490879831,0.055148821859735464,0.014229443049062845
1933,1,0.01014216536656557,0.008958087975725563,0.0011840773908400066
1933,2,0.004650905666909241,0.004011356249548584,0.000639549417360657
1933,3,0.0033309760363159796,0.002864991581025373,0.00046598445529060645
1933,4,0.0025691873014758787,0.0022424935880527574,0.0003266937134231212
1934,0,0.07758949021763878,0.06102729000198595,0.016562200215652828
1934,1,0.011317642449922165,0.009996568925017815,0.0013210735249043499
1934,2,0.005150563242955585,0.004529918049664374,0.0006206451932912107
1934,3,0.0034478585356014254,0.002959935713465733,0.00048792282213569243
1934,4,0.002659654795640085,0.00223118611561122,0.00042846868002886524
1935,0,0.06930594335859593,0.053545946893202266,0.01575999646539366
1935,1,0.009552484006673261,0.00840119681732668,0.001151287189346581
1935,2,0.0045626915974010624,0.0038047739502002015,0.0007579176472008609
1935,3,0.003195206167538566,0.0027509166555844747,0.00044428951195409115
1935,4,0.0024606299212598425,0.002311643363266387,0.00014898655799345552
1936,0,0.0702618411787638,0.055439675507859186,0.014822165670904615
1936,1,0.009537670135742464,0.00805344072644684,0.0014842294092956235
1936,2,0.00457566530910641,0.003947926423343412,0.0006277388857629986
1936,3,0.0030567322546155495,0.0027033783336478713,0.00035335392096767825
1936,4,0.002385441903578909,0.002150244912800382,0.00023519699077852695
1937,0,0.06935776941718434,0.05452118834659372,0.014836581070590625
1937,1,0.008825264808460938,0.007855693865737723,0.0009695709427232149
1937,2,0.004243682257262421,0.003684236141529177,0.0005594461157332441
1937,3,0.002912470220090527,0.0025284233481605695,0.00038404687192995736
1937,4,0.002345221671438225,0.001973042673358974,0.0003721789980792511
1938,0,0.06467672826957492,0.05069375984436693,0.013982968425207992
1938,1,0.00831307492151138,0.007431828050595161,0.0008812468709162189
1938,2,0.0037760907980319124,0.0033188750902234843,0.00045721570780842815
1938,3,0.002652400139956433,0.0022320373562414574,0.0004203627837149754
1938,4,0.0020846029294883553,0.0017950246992175223,0.00028957823027083297
1939,0,0.05959958616339623,0.04681465349304189,0.01278493267035434
1939,1,0.006654385831958541,0.005886935500710769,0.0007674503312477716
1939,2,0.003193203785479523,0.002654982322425948,0.0005382214630535748
1939,3,0.0022690640502010862,0.0018913128109553365,0.0003777512392457497
1939,4,0.001815307303576974,0.0015434212633288896,0.0002718860402480844
1940,0,0.06171307503114443,0.04764827860584555,0.014064796425298884
1940,1,0.006109376656393644,0.005256215781906625,0.0008531608744870188
1940,2,0.0028911599305270494,0.0024546746479479783,0.00043648528257907116
1940,3,0.001940870968159725,0.0016846855458712427,0.0002561854222884823
1940,4,0.001588110700332896,0.0013545022228094372,0.00023360847752345888
1941,0,0.0585832106595896,0.046297705917562056,0.012285504742027546
1941,1,0.0058722800378429515,0.0052279421805200635,0.0006443378573228881
1941,2,0.002819064430714916,0.002325095022459854,0.000493969408255062
1941,3,0.001881693807388124,0.001658014509444956,0.00022367929794316803
1941,4,0.0015239973969679496,0.0013118782637461307,0.00021211913322181897
1942,0,0.05442943919937199,0.04291500689190512,0.01151443230746687
1942,1,0.004819113250950894,0.0043299653769271395,0.0004891478740237541
1942,2,0.0024215630770948572,0.0019992304442704423,0.0004223326328244149
1942,3,0.0018157558680232638,0.0015169094734884985,0.0002988463945347653
1942,4,0.0014258375808669267,0.0012366552952277046,0.0001891822856392221
1943,0,0.049260508722437195,0.03847910794797886,0.010781400774458334
1943,1,0.0049743413450188245,0.004398668288358862,0.0005756730566599628
1943,2,0.0026373880286019616,0.002155025901099947,0.00048236212750201466
1943,3,0.0019031309768060207,0.0015527265348613574,0.0003504044419446633
1943,4,0.0014725071192895826,0.0012326772511835585,0.00023982986810602413
1944,0,0.04912678506254999,0.038973559733862934,0.010153225328687059
1944,1,0.004215038219706078,0.0036802502719940817,0.0005347879477119962
1944,2,0.0023765691401043364,0.0020142235290680644,0.00036234561103627196
1944,3,0.001759136284491928,0.0014626524051060171,0.0002964838793859108
1944,4,0.0013814075761920542,0.0012256670985431033,0.0001557404776489509
1945,0,0.04756721273004469,0.03716901312385734,0.010398199606187347
1945,1,0.003771117994716938,0.0033183707660939797,0.00045274722862295854
1945,2,0.001989935879095912,0.0016921663348693462,0.00029776954422656575
1945,3,0.0016091877172935256,0.0012926890988703464,0.0003164986184231791
1945,4,0.0013768551782434124,0.0011233489251249262,0.00025350625311848615
1946,0,0.05209714894629305,0.040141088065023194,0.011956060881269853
1946,1,0.003439176695028308,0.0031014439667637022,0.0003377327282646056
1946,2,0.0019044164973931641,0.0015512572648208258,0.00035315923257233837
1946,3,0.0014090856725420744,0.0011546644867041554,0.00025442118583791896
1946,4,0.0012094942273108331,0.0009475059728956818,0.00026198825441515127
1947,0,0.03883221542593376,0.029997691617962178,0.008834523807971579
1947,1,0.003113284920168556,0.002773820819674677,0.0003394641004938791
1947,2,0.0017924602722435993,0.0014113208742047184,0.0003811393980388809
1947,3,0.0013104832327785409,0.0010238375781745671,0.00028664565460397376
1947,4,0.0009871249753218756,0.0007999950387904571,0.00018712993653141846
1948,0,0.040158758728154956,0.03103979231820409,0.009118966409950864
1948,1,0.002627656066169917,0.0022650879866013794,0.0003625680795685377
1948,2,0.0017192895760164252,0.001452568122264128,0.00026672145375229717
1948,3,0.0013280553658503514,0.0010611114792969125,0.0002669438865534389
1948,4,0.0010553085601462688,0.0008329212488275649,0.00022238731131870389
1949,0,0.03961780772942743,0.030558431630589397,0.009059376098838036
1949,1,0.0026322529069071655,0.002319657138780825,0.00031259576812634046
1949,2,0.0015089070080347706,0.001194345083398329,0.0003145619246364417
1949,3,0.0012671413233552621,0.0010462264327572972,0.00022091489059796496
1949,4,0.0009811612759799322,0.0007752283028805852,0.000205932973099347
1950,0,0.03728186392466101,0.028554592900527087,0.008727271024133926
1950,1,0.0025614650292679264,0.0021326144894462367,0.00042885053982168967
1950,2,0.0014397438011985266,0.0011856962721377374,0.0002540475290607892
1950,3,0.0010335130337767759,0.0008774977385056739,0.00015601529527110196
1950,4,0.0009213166662933226,0.0007855477310712776,0.00013576893522204508
1951,0,0.03666373985058922,0.0278901754595803,0.008773564391008917
1951,1,0.0025105562886105063,0.0023416348902976706,0.00016892139831283567
1951,2,0.0015077296885474317,0.0012266880544680207,0.00028104163407941104
1951,3,0.0010930512123316976,0.0009125171023838339,0.00018053410994786374
1951,4,0.0008896880864387908,0.0006611920691923839,0.0002284960172464069
1952,0,0.03612800279988856,0.027854652582605336,0.008273350217283221
1952,1,0.002491163565276538,0.002204486162047276,0.000286677403229262
