PopName,Area,Year,Month,Deaths
USA,01,1959,1,141001
USA,01,1959,2,127356
USA,01,1959,3,141001
USA,01,1959,4,136452
USA,01,1959,5,141001
USA,01,1959,6,136452
USA,01,1959,7,141001
USA,01,1959,8,141001
USA,01,1959,9,136452
USA,01,1959,10,141001
USA,01,1959,11,136452
USA,01,1959,12,141001
USA,01,1960,1,145004
USA,01,1960,2,135649
USA,01,1960,3,145004
USA,01,1960,4,140326
USA,01,1960,5,145004
USA,01,1960,6,140326
USA,01,1960,7,145004
USA,01,1960,8,145004
USA,01,1960,9,140326
USA,01,1960,10,145004
USA,01,1960,11,140326
USA,01,1960,12,145004
USA,01,1961,1,144513
USA,01,1961,2,130528
USA,01,1961,3,144513
USA,01,1961,4,139851
USA,01,1961,5,144513
USA,01,1961,6,139851
USA,01,1961,7,144513
USA,01,1961,8,144513
USA,01,1961,9,139851
USA,01,1961,10,144513
USA,01,1961,11,139851
USA,01,1961,12,144513
USA,01,1962,1,149201
USA,01,1962,2,134762
USA,01,1962,3,149201
USA,01,1962,4,144388
USA,01,1962,5,149201
USA,01,1962,6,144388
USA,01,1962,7,149201
USA,01,1962,8,149201
USA,01,1962,9,144388
USA,01,1962,10,149201
USA,01,1962,11,144388
USA,01,1962,12,149201
USA,01,1963,1,154027
USA,01,1963,2,139122
USA,01,1963,3,154027
USA,01,1963,4,149059
USA,01,1963,5,154027
USA,01,1963,6,149059
USA,01,1963,7,154027
USA,01,1963,8,154027
USA,01,1963,9,149059
USA,01,1963,10,154027
USA,01,1963,11,149059
USA,01,1963,12,154027
USA,01,1964,1,152294
USA,01,1964,2,142469
USA,01,1964,3,152294
USA,01,1964,4,147381
USA,01,1964,5,152294
USA,01,1964,6,147381
USA,01,1964,7,152294
USA,01,1964,8,152294
USA,01,1964,9,147381
USA,01,1964,10,152294
USA,01,1964,11,147381
USA,01,1964,12,152294
USA,01,1965,1,155266
USA,01,1965,2,140241
USA,01,1965,3,155266
USA,01,1965,4,150258
USA,01,1965,5,155266
USA,01,1965,6,150258
USA,01,1965,7,155266
USA,01,1965,8,155266
USA,01,1965,9,150258
USA,01,1965,10,155266
USA,01,1965,11,150258
USA,01,1965,12,155266
USA,01,1966,1,158240
USA,01,1966,2,142926
USA,01,1966,3,158240
USA,01,1966,4,153136
USA,01,1966,5,158240
USA,01,1966,6,153136
USA,01,1966,7,158240
USA,01,1966,8,158240
USA,01,1966,9,153136
USA,01,1966,10,158240
USA,01,1966,11,153136
USA,01,1966,12,158240
USA,01,1967,1,157236
USA,01,1967,2,142019
USA,01,1967,3,157236
USA,01,1967,4,152164
USA,01,1967,5,157236
USA,01,1967,6,152164
USA,01,1967,7,157236
USA,01,1967,8,157236
USA,01,1967,9,152164
USA,01,1967,10,157236
USA,01,1967,11,152164
USA,01,1967,12,157236
USA,01,1968,1,163477
USA,01,1968,2,152930
USA,01,1968,3,163477
USA,01,1968,4,158203
USA,01,1968,5,163477
USA,01,1968,6,158203
USA,01,1968,7,163477
USA,01,1968,8,163477
USA,01,1968,9,158203
USA,01,1968,10,163477
USA,01,1968,11,158203
USA,01,1968,12,163477
USA,01,1969,1,163238
USA,01,1969,2,147440
USA,01,1969,3,163238
USA,01,1969,4,157972
USA,01,1969,5,163238
USA,01,1969,6,157972
USA,01,1969,7,163238
USA,01,1969,8,163238
USA,01,1969,9,157972
USA,01,1969,10,163238
USA,01,1969,11,157972
USA,01,1969,12,163238
USA,01,1970,1,163156
USA,01,1970,2,147367
USA,01,1970,3,163156
USA,01,1970,4,157893
USA,01,1970,5,163156
USA,01,1970,6,157893
USA,01,1970,7,163156
USA,01,1970,8,163156
USA,01,1970,9,157893
USA,01,1970,10,163156
USA,01,1970,11,157893
USA,01,1970,12,163156
USA,01,1971,1,163709
USA,01,1971,2,147866
USA,01,1971,3,163709
USA,01,1971,4,158428
USA,01,1971,5,163709
